clause_text,clause_label
"Franchisee also acknowledges that Pretzel Time has granted the Franchise to Franchisee in consideration of and reliance upon Franchisee's agreement to deal exclusively with Pretzel Time. Except as otherwise provided in this Agreement and provided that Franchise is in full compliance with this Agreement, Pretzel Time and its Affiliates will not during the term of this Agreement operate or grant franchises for the operation of Pretzel Time Units within the Territory other than the Franchise granted to Franchisee pursuant to this Agreement.",Exclusivity
"Neither Franchisee nor any of its Owners shall divert or attempt to divert any business or any customers of any Pretzel Time Unit to any Competitive Business or employ or seek to employ any person who is employed by Pretzel Time, its Affiliates or a franchisee of Pretzel Time nor induce or attempt to induce any such person to leave said employment without the prior written consent of such person's employer.",No-Solicit Of Customers
"Franchisee therefore agrees that during the term of the Franchise Agreement, or the period of time which Franchisee operates a Unit under this Agreement, whichever is shorter, neither Franchisee nor any Affiliate, immediate family member, or in the event Franchisee is a corporation any Owner thereof and member of his immediate family or in the event Franchise is a partnership any partner (general or limited) thereof and any member of his immediate family, shall:<omitted>(2) Recruit or hire any employee who, within the immediately preceding six (6) month period, was employed by Pretzel Time or any Pretzel Time Unit operated by Pretzel Time, its Affiliates or another franchisee or licensee of Pretzel Time, without obtaining the prior written permission of Pretzel Time or such franchisee. Neither Franchisee nor any of its Owners shall divert or attempt to divert any business or any customers of any Pretzel Time Unit to any Competitive Business or employ or seek to employ any person who is employed by Pretzel Time, its Affiliates or a franchisee of Pretzel Time nor induce or attempt to induce any such person to leave said employment without the prior written consent of such person's employer.",No-Solicit Of Employees
Franchisee agrees to refrain from any business or advertising practice which may be injurious to the business of Pretzel Time and the goodwill associated with the Marks and other Pretzel Time Units.,Non-Disparagement
"Pretzel Time reserves the right to suspend contributions/fees and operations of the Advertising Fund for one or more periods, and the right to terminate the Advertising Fund, upon thirty (30) days' prior written notice to Franchisee.",Termination For Convenience
"If Pretzel Time exercises its right of first refusal, Franchisee (and its Owners) agrees that, for a period of twelve (12) months commencing on the date of the closing, neither Franchisee (nor its Owners) shall have any direct or indirect interest (through a member of the immediate families of Franchisee or its Owners of otherwise) as a disclosed or beneficial owner, investor, partner, director, officer, employee, consultant, representative, or agent or in any other capacity in any Competitive Business located or operating within three (3) miles of the Unit, and/or three (3) miles of any other Pretzel Time Unit. In the event the closing of the purchase does not occur within said ninety (90) day period because Franchisee fails to act diligently in connection therewith, the purchase price shall be reduced by ten percent (10%). Franchisee further agrees that the purchase price shall be further reduced by ten percent (10%) per month for each subsequent month Franchisee fails to act diligently to consummate this transaction. In the event that Franchisee cannot deliver clear title to all of the purchased assets as aforesaid, or in the event there are other unresolved issues, at Pretzel Time's option, the losing of the sale shall be accomplished through an escrow. Pretzel Time shall have the unrestricted right to assign this option to purchase. If Pretzel Time does not exercise its right of first refusal, Franchisee or its Owners may complete the sale to such purchaser pursuant to and on the exact terms of such offer, subject to Pretzel Time's approval of the Transfer as provided in Section 17, provided that if the sale to such purchaser is not completed within 120 days after delivery of such offer to Pretzel Time, or if there is a material change in the terms of the sale (which Franchisee shall promptly communicate to Pretzel Time), Pretzel Time's right to first refusal shall be extended for thirty (30) days after the expiration of such 120 day period or after the material change in the terms of the sale so communicated to Pretzel Time. Pretzel Time shall have the right, exercisable by written notice delivered to Franchisee (or its Owners) within sixty (60) days from the date of delivery of an exact copy of such offer to Pretzel Time, to purchase such interest for the price and on the terms and conditions contained in such offer, provided that Pretzel Time may substitute cash for any form of payment proposed in such offer, Pretzel Time's credit shall be deemed equal to the credit of any proposed purchaser and Pretzel Time shall have not less than sixty (60) days to prepare for closing. If Pretzel Time exercises its right of first refusal, Franchisee (and its Owners) further agrees that he will abide by the restrictions of Section 17.C.(13). The purchase price shall be paid in cash at the closing of the purchase, which shall take place no later than ninety (90) days after receipt by Franchisee of Pretzel Time's notice of exercise of this option to purchase the Unit, at which time Franchisee shall deliver instruments transferring to Pretzel Time or its assignee good and merchantable title to the assets purchased, free and clear of all liens and encumbrances with all sales and other transfer taxes paid by Franchisee, and all licenses or permits of the Unit which may be assigned or transferred. If Pretzel Time or its assignee exercises this option to purchase, pending the closing of such purchase, Pretzel Time may appoint a manager to maintain the operation of the Unit, at its option, require Franchisee to close the Unit during such time period without removing any asset Upon termination of this Agreement by Pretzel Time in accordance with its terms and conditions or by Franchisee without cause or upon expiration of this Agreement (unless the franchise has been renewed), Pretzel Time, its Affiliates or its assignee shall have the option (not the obligation), exercisable by giving written notice thereof within sixty (60) days from the date of such expiration or termination, to acquire from Franchisee all the assets in the Unit including the equipment, furnishings, signs, leasehold improvements, usable inventory of Products, materials, supplies and other tangible assets of the Unit and an assignment of the lease for the Unit. If Franchisee (or its Owners) shall at any time determine to sell, assign or transfer for consideration this Agreement or an Ownership Interest in Franchisee or the Unit, Franchisee (or its Owners) shall obtain a bona fide, executed written offer and earnest money deposit from a responsible and fully disclosed purchaser (including lists of the Owners of record and beneficially of any corporate offeror and all general and limited partners of any partnership offeror and, in the case of a publicly-held corporation or limited partnership, copies of the most current annual and quarterly reports) and shall immediately submit to Pretzel Time a true and complete copy of such offer, which shall include details of the payment terms of the proposed sale and the sources and terms of any financing for the proposed purchase price.",Rofr/Rofo/Rofn
"If Franchisee desires to assign his rights under the Franchise to a new franchisee, Franchisee (Assignor of the Franchise), agrees to pay to Pretzel Time a transfer fee equal to the greater of SIX THOUSAND TWO HUNDRED FIFTY DOLLARS ($6,250.00) or the then current transfer fee being paid by franchisees upon the assignment, gift, bequeath or transfer of ownership of the Franchise to cover administrative costs and expenses. A Transfer shall also be deemed to include a merger or consolidation of Franchisee with any other entity, the issuance of additional securities representing, or convertible into, an Ownership Interest in Franchisee and any Transfer as a result of death (subject to this Section), divorce, insolvency, corporate or partnership dissolution proceedings or otherwise by operation of law. Franchisee shall furnish Pretzel Time at the time of the execution of this Agreement or of assignment to the corporation or partners of Franchisee, a written agreement stating that no stockholder or partner will sell, assign or transfer voluntarily or by operation of law any securities of Franchisee, or other ownership interest in Franchisee, to any person or entity other than existing shareholders or partnership, to the extent permitted hereunder, without the prior written consent of Pretzel Time.",Change Of Control
"Accordingly, Franchisee agrees no Transfer shall be made without Pretzel Time's prior written approval. Any Transfer without such approval shall constitute a breach of this Agreement and shall be void and of no effect.",Anti-Assignment
"As compensation for the management services provided, Pretzel Time shall charge such fund ten percent (10%) of the Unit's net revenues during the period of Pretzel Time's management. Franchisee agrees to pay on a weekly basis to Pretzel Time, as partial consideration for the grant of the Franchise, an Advertising Fund Fee of one percent (1%) of Net revenues for the preceding week as defined in Section 1. Franchisee, in partial consideration of the grant of a franchise, agrees to pay to Pretzel Time a continuing Royalty of seven percent (7%) of Franchisee's net revenues (as defined in Section 1) on a weekly basis as specified in this Section; provided only 4% Royalty shall be payable on TCBY frozen yogurt and other TCBY frozen yogurt products.",Revenue/Profit Sharing
"Franchisee assigns to Pretzel Time or its designee all of Franchisee's right, title and interest in and to any and all such Promotional Allowances and authorizes Pretzel Time or its designee to collect any such Promotional Allowances for remission to the general operating funds of Pretzel Time. If incorporated into the Pretzel Time System for the development and/or operation of Pretzel Time Units, such ideas, recipes, formulas, concepts, methods and techniques shall become the sole and exclusive property of Pretzel Time without any further consideration to Franchisee.",Ip Ownership Assignment
"Franchisee agrees and grants to Pretzel Time and its Affiliates a perpetual and worldwide right to use and authorize other Pretzel Time Units or other food service businesses operated by Pretzel Time or its Affiliates, franchisees and designees to use such ideas, recipes, formulas, concepts, methods, and techniques relating to the development and/or operation of a dessert or snack food business. Pretzel Time hereby grants to Franchisee and Franchisee agrees to undertake, during the term of this Agreement and upon the terms and conditions stated in this Agreement, the right, license and privilege to operate, conduct, and do business and to use certain trade names, trademarks, service marks, logos, and other commercial symbols, including Pretzel Time (referred to as ""Marks"") solely and exclusively for the operation of one retail franchise Unit (referred to as ""Franchise""), which is in the form of a (Store/Kiosk/Cart), and to sell those Products known as Pretzel Time pretzels and other Pretzel Time-approved menu items and Products further described in Section 2 (hereinafter ""Products"") in accordance with the provisions of this Agreement and in accordance with rules, standards, systems, and procedures as prescribed by Pretzel Time which may be changed, improved and further developed from time to time, (hereinafter ""Pretzel Time System""), at one (1) location only, such location to be (hereinafter ""Site"").",License Grant
"Franchisee agrees and grants to Pretzel Time and its Affiliates a perpetual and worldwide right to use and authorize other Pretzel Time Units or other food service businesses operated by Pretzel Time or its Affiliates, franchisees and designees to use such ideas, recipes, formulas, concepts, methods, and techniques relating to the development and/or operation of a dessert or snack food business.",Affiliate License-Licensee
"Franchisee agrees and grants to Pretzel Time and its Affiliates a perpetual and worldwide right to use and authorize other Pretzel Time Units or other food service businesses operated by Pretzel Time or its Affiliates, franchisees and designees to use such ideas, recipes, formulas, concepts, methods, and techniques relating to the development and/or operation of a dessert or snack food business.",Irrevocable Or Perpetual License
"Franchisee agrees to notify the telephone company and all telephone directory publishers of the termination or expiration of Franchisee's right to use any telephone and telecopy numbers and any regular, classified or other telephone directory listings associated with any Mark and to authorize the transfer thereof to Pretzel Time or at its direction. Upon termination of this Agreement by Pretzel Time in accordance with its terms and conditions or by Franchisee without cause or upon expiration of this Agreement (unless the franchise has been renewed), Pretzel Time, its Affiliates or its assignee shall have the option (not the obligation), exercisable by giving written notice thereof within sixty (60) days from the date of such expiration or termination, to acquire from Franchisee all the assets in the Unit including the equipment, furnishings, signs, leasehold improvements, usable inventory of Products, materials, supplies and other tangible assets of the Unit and an assignment of the lease for the Unit. Upon termination of this Agreement, in accordance with its terms and conditions or by Franchisee without cause, or upon expiration of this Agreement (unless the Franchise is renewed as provided for in this Agreement), Franchisee and its Owners agree that for a period of TWELVE (12) months commencing on the effective date of termination or expiration or the date on which Franchisee complies with this Section, whichever is later, neither Franchisee, nor its Owners, nor any person or entity affiliated with Franchisee or Franchisee's shareholders or partners shall have any direct or indirect interest (through a member of the immediate families of Franchisee or its Owners or otherwise) as a disclosed or beneficial owner, investor, partner, director, officer, employee, consultant, representative, agent or in any other capacity in any Competitive Business located or operating: (1) at the Site; (2) within three (3) miles of the Unit; and/or (3) within three (3) miles of any other Pretzel Time Unit in operation or under development on the effective date of termination or expiration of this agreement for a period of one year after the termination or expiration. Franchisee agrees to return all materials and supplies identified by the Marks in full cases or packages to Pretzel Time for credit and dispose of all other materials and supplies, but not equipment, identified by the Marks within thirty (30) days after the effective date of termination or expiration of this Agreement.",Post-Termination Services
"To determine whether Franchisee and the Unit are complying with this Agreement and with all Pretzel Time's standards and operations as prescribed by Pretzel Time, Pretzel Time or its designated agents shall have the right at any reasonable time and without prior notice to Franchisee to: a. Inspect the Unit; b. Observe, photograph and video tape the Unit's operations for such consecutive or intermittent periods as Pretzel Time deems necessary; c. Remove samples of any Products, materials or supplies for testing and analysis; d. Interview personnel of the Unit; e. Interview customers of the Unit; and f. Inspect and copy any books, records and documents relating to the operation of the Unit. Franchisee agrees to cooperate fully with Pretzel Time in connection with any such inspections, observations, photographing, video taping, Product removal and interviews. Franchisee shall present to his customers such comment or evaluation forms as Pretzel Time periodically prescribes and shall participate and/or request his customers to participate in any surveys performed by or on behalf of Pretzel Time. The audit will be conducted at the expense of Pretzel Time, provided that if an audit disclosed an understatement of two percent (2%), as described above, Franchisee will bear the cost of the audit, including without limitation, the charges of attorneys and any independent accountants, their travel expenses, room and board, and compensation of Pretzel Time's representatives and independent accountants. Pretzel Time or its designee shall have the right at any time during business hours and without prior notice to Franchisee, to inspect, audit and copy or the right to cause to be inspected, audited and copied, the business records, bookkeeping and accounting records, sales and income tax records and returns and other records of the Franchised Business, including but not limited to, daily cash reports, cash receipts journal and general ledger, cash disbursements journal and weekly payroll register, monthly bank statements and daily deposit slips and cancelled checks; tax returns, supplier invoices, dated cash register tapes, weekly inventories, sales reports, financial statements and tax returns and the books and records of any corporation or partnership which holds the Franchise including the personal financial records and tax returns of the Franchisee during and after the term of the Franchise Agreement. Providing that in no case will Franchisee be obligated to pay more than ten thousand dollars ($10,000) for such inspection or audit costs. Franchisee shall fully cooperate with Pretzel Time's representatives and independent accountants hired by Pretzel Time to conduct any such inspection or audit.",Audit Rights
"Pretzel Time shall not be liable to Franchisee, the contractor, or any other person, and Franchisee waives all claims for liability or damages of any type whatsoever (whether direct, indirect, incidental, consequential, or exemplary), on account of the rendition of any services by Pretzel Time in accordance with this Section, except to the extent caused by the gross negligence or intentional misconduct of Pretzel Time, and then any such liability or damages shall be limited to five thousand dollars ($5,000.00). EXCEPT FOR CLAIMS BROUGHT BY PRETZEL TIME WITH REGARD TO FRANCHISEE'S OBLIGATIONS TO MAKE PAYMENTS TO PRETZEL TIME PURSUANT TO THIS AGREEMENT OR TO INDEMNIFY PRETZEL TIME PURSUANT TO THIS AGREEMENT, ANY AND ALL CLAIMS ARISING OUT OF OR RELATING TO THIS AGREEMENT OR THE RELATIONSHIP OF FRANCHISEE AND PRETZEL TIME PURSUANT TO THIS AGREEMENT SHALL BE BARRED UNLESS AN ACTION IS COMMENCED WITHIN: (1) TWO (2) YEARS FROM THE DATE ON WHICH THE ACT OR EVENT GIVING RISE TO THE CLAIM OCCURRED OR (2) ONE (1) YEAR FROM THE DATE ON WHICH FRANCHISEE OR PRETZEL TIME KNEW OR SHOULD HAVE KNOWN, IN THE EXERCISE OF REASONABLE DILIGENCE OF THE FACTS GIVEN RISE TO SUCH CLAIMS, WHICHEVER OCCURS FIRST. EXCEPT WITH RESPECT TO FRANCHISEE'S OBLIGATION TO INDEMNIFY PRETZEL TIME, THE PARTIES WAIVE TO THE FULLEST EXTENT PERMITTED BY LAW ANY RIGHT TO OR CLAIM FOR ANY PUNITIVE OR EXEMPLARY DAMAGES AGAINST THE OTHER AND AGREE THAT, IN THE EVENT OF A DISPUTE BETWEEN THEM, THE PARTY MAKING A CLAIM SHALL BE LIMITED TO RECOVERY OF ANY ACTUAL DAMAGES IT SUSTAINS.",Cap On Liability
"Franchisee shall maintain at Franchisee's expense, in form, amounts and with insurers satisfactory to Pretzel Time, which insurers must have an A.M. Best Company rating of ""A-"" or better and naming Pretzel Time an additional insured, insurance against all types of public liability with personal injury coverage and property damage coverage. Such certificate shall state that said policy or policies will not be canceled or altered without at least thirty (30) days prior written notice to Pretzel Time and shall reflect proof of payment of premiums. In addition to coverage as aforesaid such insurance shall include coverages as set forth in the Operations Manual and shall contain a provision obligating all insurers to provide a written notice Pretzel Time of any cancellation or modification of coverage at least thirty (30) days prior to the effective date of such modification or cancellation. The insurance afforded by the policy or policies respecting liability shall not be limited in any way by reason of any insurance which may be maintained by Pretzel Time.",Insurance
"Franchisee and its Owners shall execute general releases, in form satisfactory to Pretzel Time (the general form of which is attached hereto as Exhibit ""K""), of any and all claims against Pretzel Time and its Affiliates and their respective shareholders, officers, directors, employees, agents, successors and assigns. Franchisee shall not at any time during the term of this Agreement or after its termination, contest the validity or ownership of any of the Marks or assist any other person in contesting the validity or ownership of the Marks. The occurrence of any one of the following events shall constitute a default under this Agreement requiring a 30 day notice period of termination by Pretzel Time to Franchisee:<omitted>(xi) Franchisee misuses Pretzel Time's Marks or asserts any interest in Pretzel Time's Marks; uses Pretzel Time's tradename or any part thereof as part to of its corporate name; does not cooperate in the enforcement of any Mark; or challenges or seeks to challenge the validity of the Marks;",Covenant Not To Sue
"This Agreement shall be construed and enforced in accordance with the laws of the State of California, without regard to the conflict of law principles of California or any other jurisdiction.",Governing Law
"During the term of this Agreement, Consultant will not, directly or indirectly (whether for compensation or without compensation) engage in or provide consulting services, or enter into any agreement either written or oral, that would present a material conflict with any of the provisions of this Agreement, or would preclude Consultant from complying with the terms and conditions hereof.",Exclusivity
"From the Effective Date and for twelve (12) months after the termination of this Agreement (the ""Restricted Period""), Consultant shall not, without Aduro's prior written consent, directly or indirectly, solicit or encourage any employee or contractor of Aduro or its affiliates to terminate employment with, or cease providing Services to, Aduro or its affiliates.",No-Solicit Of Employees
Either party may terminate this Agreement at any time on prior written notice to the other.,Termination For Convenience
This Agreement shall not be assignable by Consultant.,Anti-Assignment
"Aduro shall be the sole and exclusive owner of, and Consultant hereby assigns to Aduro, any and all writings, documents, work product, inventions, developments, improvements, discoveries, know-how, processes, chemical entities, compounds, plans, memoranda, tests, research, designs, specifications, models and data that Consultant makes, conceives, discovers or develops, either solely or jointly with any other person in performance of the Services (collectively, ""Work Product""). At Aduro's request and expense, Consultant shall assist Aduro in acquiring and maintaining its right in and title to, any Work Product. To the extent, if any, that Consultant has rights in or to any Work Product or any data or inventions developed in connection with work under this Agreement (""Aduro IP""), Consultant hereby irrevocably assigns and transfers to Aduro, and to the extent that an executory assignment is not enforceable, Consultant hereby agrees to assign and transfer to Aduro, in writing, from time to time, upon request, any and all right, title, or interest that Consultant has or may obtain in any Work Product and/or Aduro IP without the necessity of further consideration.",Ip Ownership Assignment
"This Agreement shall automatically be renewed for one (1) or more one (1) month periods unless either the Customer or i-on gives notice to the other party of its intention not to renew the<omitted>Agreement, which notice must be given not less than fifteen (15) days before the end of the respective initial or renewal term.",Renewal Term
"This Agreement was entered into in the State of Florida, and its validity, construction, interpretation, and legal effect shall be governed by the laws and judicial decisions of the State of Florida applicable to contracts entered into and performed entirely within the State of Florida.",Governing Law
Either party may terminate this Agreement without cause at any time effective upon thirty (30) days' written notice.,Termination For Convenience
"i-on will not be liable under any circumstances for any lost profits or other consequential damages, even if i-on has been advised as to the possibility of such damages. i-on's liability for damages to the Customer for any cause whatsoever, regardless of the form of action, and whether in contract or in tort, including negligence, shall be limited to one (1) month's fees and the remaining portion of any prepaid fees.",Cap On Liability
"This Agreement shall continue in effect from the Effective Date for a one (1) year period, unless earlier terminated as set forth below, and thereafter shall renew automatically for successive one (1) year periods unless either party gives the other party at least thirty (30) days prior written notice of its intent not to renew the Agreement.",Renewal Term
This Agreement shall be governed by and construed in accordance with the laws of the State of California exclusive of its conflict of laws principles.,Governing Law
Neither party may assign or otherwise transfer its rights and/or obligations under this Agreement without the prior written consent of the other party.,Anti-Assignment
"To the extent that certain components of the Software may be downloaded to Customer's or User's computer as a result of accessing the Software as part of the Hosting Services, eGain grants Customers a non-exclusive, non-transferable, limited license, with right to sublicense solely to Users, to use such Software only in connection with the Hosting Services. Customer hereby grants eGain a right to use Customer's trademarks (name and logo only) designated by Customer for such limited uses, subject to Customer's trademark/logo usage guidelines, if any, provided by Customer to eGain.",License Grant
"To the extent that certain components of the Software may be downloaded to Customer's or User's computer as a result of accessing the Software as part of the Hosting Services, eGain grants Customers a non-exclusive, non-transferable, limited license, with right to sublicense solely to Users, to use such Software only in connection with the Hosting Services.",Non-Transferable License
"Except in the event of termination for Customer's breach, eGain shall provide Customer with an electronic copy of the final Reports (covering the month just prior to termination of this Agreement).",Post-Termination Services
"EXCLUDING LIABILITY FOR INFRINGEMENT CLAIMS AS DISCUSSED IN SECTION 9 OF THIS AGREEMENT, IN NO EVENT SHALL eGAIN BE LIABLE TO CUSTOMER FOR CONSEQUENTIAL, EXEMPLARY, INDIRECT, SPECIAL OR INCIDENTAL DAMAGES (INCLUDING, WITHOUT LIMITATION, LOST PROFITS), OR BE LIABLE TO ANY THIRD PARTY FOR ANY DAMAGES WHATSOEVER, EVEN IF eGAIN HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",Uncapped Liability
"In the event that the Software or eGain System is not Year 2000 Compliant, Customer's sole and exclusive remedy and eGain's sole and exclusive liability shall be for eGain, at no additional cost to Customer, to promptly modify the Software or the eGain System so that the Software or eGain System is Year 2000 Compliant. In the event of a breach (other than Downtime) of the warranty set forth in Section 6.1(i) above, Customer's sole and exclusive remedy, and eGain's sole and exclusive liability shall be, at eGain's option, repair or replacement of the Software. In the event of Downtime (as defined in this Section 6.1 below), as Customer's sole and exclusive remedy and eGain's sole and exclusive liability, the monthly fee payable for the Hosting Services shall be reduced as follows: a) For the first sixty (60) minutes of Downtime during Normal Business Hours or the first four (4) hours of Downtime outside of Normal Business Hours (""Initial Downtime""), eGain will credit Customer's account for one (1) day of service. b) For each eight (8) hour period of Downtime per day in addition to the Initial Downtime, eGain will credit Customer's account for one (1) additional day of service. EXCLUDING LIABILITY FOR INFRINGEMENT CLAIMS AS DISCUSSED IN SECTION 9 OF THIS AGREEMENT, IN NO EVENT SHALL eGAIN BE LIABLE TO CUSTOMER FOR CONSEQUENTIAL, EXEMPLARY, INDIRECT, SPECIAL OR INCIDENTAL DAMAGES (INCLUDING, WITHOUT LIMITATION, LOST PROFITS), OR BE LIABLE TO ANY THIRD PARTY FOR ANY DAMAGES WHATSOEVER, EVEN IF eGAIN HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES. eGain's entire liability under this Agreement for any damages from any cause whatsoever, regardless of form or action, whether in contract, negligence or otherwise, shall in no event exceed an amount equal to the price paid for the Services out of which the claim arose. THE FOREGOING CONSTITUTES CUSTOMER'S SOLE AND EXCLUSIVE REMEDY, AND eGAIN'S ENTIRE LIABILITY, FOR DOWNTIME AND FOR BREACH OF THE HOSTING SERVICES WARRANTY PROVIDED IN THIS SECTION 6.1.",Cap On Liability
"Diplomat or Tadeo, if such party is not in default of the terms of this Agreement, may extend the term of this Agreement for an additional one year (""Additional Period""), provided the extending party gives the other party at least sixty (60) days advance written notice before the end of the Period.",Renewal Term
"This Agreement shall be governed by and construed in accordance with the internal laws of the State of New York applicable to agreements made and to be performed entirely within such State, without regard to the conflicts of law principles of such State.",Governing Law
Upon Diplomat giving Tadeo at least sixty (60) days advance written notice of termination of this Agreement.,Termination For Convenience
"Tadeo will have the right (but not the obligation) to terminate this Agreement and the rights granted to Diplomat hereunder, upon 60 days written notice to Diplomat, following the acquisition of all or substantially all of the assets of Diplomat by any Permitted Assignee (as defined in Section 9(a) of this Agreement), or the acquisition of the beneficial ownership of at least 20% (the ""Threshold"") of the voting power represented by the voting securities of Diplomat, any successor thereto or any Permitted Assignee by any person or<omitted>""group"" within the meaning of Sections 13(d)(3) and 14(d)(2) of the Securities Exchange Act of 1934, as amended (the ""Exchange Act""), or any successor provision to either of the foregoing, including any group acting for the purpose of acquiring, holding or disposing of securities within the meaning of Rule 13d-5(b)(1) under the Exchange Act or any successor provision thereof (a ""group"") other than The Rubin Family Irrevocable Stock Trust U/A dated April 30, 1997, organized under the laws of the State of New York (the ""Trust""), Robert M. Rubin (""Rubin""), or any affiliate of Rubin or the Trust.",Change Of Control
"Neither party any assign this Agreement, or their respective rights and obligations hereunder, in whole or in part, without the other party's prior written consent; PROVIDED, HOWEVER, that Tadeo shall be entitled to assign all of its rights and obligations hereunder to any subsidiary or affiliated entity without the consent of Diplomat. Any attempt to assign this Agreement without such consent (if required) shall be void and of no effect AB INITIO.",Anti-Assignment
"To the extent, if any, that ownership of the Hose Materials does not automatically vest in Tadeo by virtue of this Agreement or otherwise, Diplomat hereby transfers and assigns to Tadeo all rights, title and interest which Diplomat may have in and to the Host Materials.",Ip Ownership Assignment
"Diplomat will be required to notify Tadeo at least five business days before the date of planned examination. If Diplomat's examination is not completed within one month from commencement, Tadeo at any time may require Diplomat to terminate such examination on<omitted>seven days' notice to Diplomat; PROVIDED that Tadeo has cooperated with Diplomat in the examination of such books and records. Diplomat may make examinations pursuant hereto during Tadeo's usual business hours, and at the place in the continental United States where Tadeo regularly keeps these books and records.",Audit Rights
"RATHER THESE RIGHTS AND OBLIGATIONS SHALL BE GOVERNED BY THE LAWS, OTHER THAN CHOICE OF LAW RULES, OF THE STATE OF GEORGIA.",Governing Law
"This Agreement shall be binding on the parties and their respective successors in interest and assigns, but neither party shall have the power to assign this Agreement without the prior written consent of the other party. LMG may not subcontract or delegate any of its duties or obligations of performance in this Agreement to any third party without the prior written consent of TAG.",Anti-Assignment
"LMG grants TAG a worldwide, nonexclusive, irrevocable, perpetual license to load, execute, access, employ, use, store, or display (""Use"") the object code version of the LMG Tools and Documentation (the ""License"") for the period specified in Exhibit A in accordance with the terms and conditions of this Agreement. The License grant includes a license under all current and future patents owned by or licensed to LMG that are applicable to the LMG Tools and Documentation or the provision or receipt of the LMG Services, to the extent necessary to exercise any of the foregoing rights.",License Grant
"LMG grants TAG a worldwide, nonexclusive, irrevocable, perpetual license to load, execute, access, employ, use, store, or display (""Use"") the object code version of the LMG Tools and Documentation (the ""License"") for the period specified in Exhibit A in accordance with the terms and conditions of this Agreement. LMG will maintain, through the Conversion Date or such other date as is specified in Exhibit A, its existing licenses for the Other Third Party Software and provide TAG access to and an irrevocable ""look access only"" right and license to use the Other Third Party Software and applicable Documentation.",Irrevocable Or Perpetual License
"Commencing upon a notice of termination under Section 6.2 or 6.3 (including notice based upon default by TAG) and continuing for a period, designated by TAG, of up to twelve (12) months thereafter, LMG shall provide to TAG the reasonable termination assistance requested by TAG to allow the LMG Services to continue without interruption or adverse effect and to facilitate the orderly transfer of the LMG Services to TAG or its designee (""Termination Assistance"").",Post-Termination Services
"Neither party shall be liable to the other pursuant to this Agreement for any amounts representing loss of profit, loss of business or indirect, consequential, exemplary, or punitive damages of the other party. The foregoing shall not limit the indemnification, defense and hold harmless obligations set forth in this Agreement other than those set forth in Section 5.4 and shall not apply with respect to damages or losses arising from the wrongful termination of this Agreement by LMG, willful misconduct, gross negligence or breach of LMG's obligations under Section 3. 8.",Uncapped Liability
"LMG's indemnification obligations under this Section 5.2 will expire twelve (12) months after the Conversion Date. TAG's indemnification obligations under this Section 5.3 will expire twelve (12) months after the Conversion Date. Neither party shall be liable to the other pursuant to this Agreement for any amounts representing loss of profit, loss of business or indirect, consequential, exemplary, or punitive damages of the other party.",Cap On Liability
"During the Term of the Agreement, LMG shall maintain and keep in force, at its own expense, the following minimum insurance coverages and minimum limits: workers' compensation insurance, with statutory limits as required by the various laws and regulations applicable to the employees of LMG; employer's liability insurance, for employee bodily injuries and deaths, with a limit of $500,000 each accident; commercial general liability insurance, covering claims for bodily injury, death and property damage, including premises and operations, LMG's vicarious liability for acts of independent contractors, products, services and completed operations (as applicable to the Services), personal injury, contractual, and broad-form property damage liability coverages, with combined single limit of $1,000,000 per occurrence, and a general aggregate limit of $2,000,000, for bodily injury, death and property damage; commercial automobile liability insurance, covering owned, non-owned and hired vehicles, with combined single limit of $1,000,000 per occurrence; umbrella liability insurance, with a minimum limit of $5,000,000 per occurrence and $5,000,000 in the aggregate; special form property insurance, on a replacement cost basis, covering the real and personal property of LMG which LMG is obligated to insure by the Agreement; such real and personal property may include equipment, furniture, fixtures and supply inventory; and employee dishonesty insurance covering dishonest acts of employees; such insurance shall include a Joint Loss Endorsement in favor of TAG and be written for limits not less than $500,000. TAG shall be named as loss payee as its interest may appear on the property insurance policies of LMG. LMG shall be responsible for payment of any and all deductibles from insured claims under its policies of insurance. All required policies of insurance will be placed with insurers with no less than an A.M. Best rating of A- VII.",Insurance
